@RELATION activity

@ATTRIBUTE "Absolute Mean (series 0)" numeric
@ATTRIBUTE "Absolute Mean (series 1)" numeric
@ATTRIBUTE "Absolute Mean (series 2)" numeric
@ATTRIBUTE "Absolute Mean (series 3)" numeric
@ATTRIBUTE "Absolute Mean (series 4)" numeric
@ATTRIBUTE "Absolute Mean (series 5)" numeric
@ATTRIBUTE "Maximum (series 0)" numeric
@ATTRIBUTE "Maximum (series 1)" numeric
@ATTRIBUTE "Maximum (series 2)" numeric
@ATTRIBUTE "Maximum (series 3)" numeric
@ATTRIBUTE "Maximum (series 4)" numeric
@ATTRIBUTE "Maximum (series 5)" numeric
@ATTRIBUTE "Mean (series 0)" numeric
@ATTRIBUTE "Mean (series 1)" numeric
@ATTRIBUTE "Mean (series 2)" numeric
@ATTRIBUTE "Mean (series 3)" numeric
@ATTRIBUTE "Mean (series 4)" numeric
@ATTRIBUTE "Mean (series 5)" numeric
@ATTRIBUTE "Median (series 0)" numeric
@ATTRIBUTE "Median (series 1)" numeric
@ATTRIBUTE "Median (series 2)" numeric
@ATTRIBUTE "Median (series 3)" numeric
@ATTRIBUTE "Median (series 4)" numeric
@ATTRIBUTE "Median (series 5)" numeric
@ATTRIBUTE "Minimum (series 0)" numeric
@ATTRIBUTE "Minimum (series 1)" numeric
@ATTRIBUTE "Minimum (series 2)" numeric
@ATTRIBUTE "Minimum (series 3)" numeric
@ATTRIBUTE "Minimum (series 4)" numeric
@ATTRIBUTE "Minimum (series 5)" numeric
@ATTRIBUTE "Range (series 0)" numeric
@ATTRIBUTE "Range (series 1)" numeric
@ATTRIBUTE "Range (series 2)" numeric
@ATTRIBUTE "Range (series 3)" numeric
@ATTRIBUTE "Range (series 4)" numeric
@ATTRIBUTE "Range (series 5)" numeric
@ATTRIBUTE classification {CLASSIFIED/VEHICLE/CAR,CLASSIFIED/IDLE/STANDING,CLASSIFIED/VEHICLE/BUS,CLASSIFIED/WALKING,CLASSIFIED/IDLE/SITTING,CLASSIFIED/WALKING/STAIRS/DOWN,CLASSIFIED/DANCING,CLASSIFIED/WALKING/STAIRS/UP}

@DATA
2.1366909,0.021920243,9.364308,12.956543,22.753906,9.427734,2.8057916,0.3405087,10.174399,14.625,24.6875,1.4E-45,2.1366909,-0.021920243,9.364308,12.956543,22.753906,-9.427734,2.083913,-0.040861044,9.357179,12.9375,22.6875,-9.5,1.5527196,-0.32688835,8.267551,10.9375,21.1875,-11.0,1.253072,0.667397,1.906848,3.6875,3.5,11.0,CLASSIFIED/VEHICLE/CAR
2.38122,0.19589904,9.319404,13.401855,21.490234,10.283691,3.4187074,0.20430522,10.18802,15.125,22.9375,1.4E-45,2.38122,-0.19589904,9.319404,13.401855,21.490234,-10.283691,2.3426998,-0.20430522,9.343558,13.4375,21.4375,-10.25,1.4301366,-0.4903325,8.539958,11.6875,19.6875,-12.6875,1.9885708,0.6946377,1.6480618,3.4375,3.25,12.6875,CLASSIFIED/VEHICLE/CAR
2.1599953,0.23473832,9.352069,13.5078125,20.716797,10.283691,2.8466527,0.17706452,10.20164,15.125,22.4375,1.4E-45,2.1599953,-0.23473832,9.352069,13.5078125,20.716797,-10.283691,2.1247742,-0.23154591,9.316318,13.6875,20.6875,-10.25,1.6208214,-0.667397,8.430995,11.9375,18.9375,-12.4375,1.2258314,0.84446156,1.7706451,3.1875,3.5,12.4375,CLASSIFIED/VEHICLE/CAR
2.4613452,0.10917561,9.257157,13.719727,19.419922,10.044434,3.173541,0.43585113,10.501288,15.375,21.4375,1.4E-45,2.4613452,-0.10917561,9.257157,13.719727,19.419922,-10.044434,2.4789033,-0.095342435,9.275456,13.6875,19.4375,-10.0,2.0566726,-0.53119355,8.553578,12.4375,17.6875,-12.4375,1.1168685,0.9670447,1.94771,2.9375,3.75,12.4375,CLASSIFIED/VEHICLE/CAR
2.1671252,0.25038043,9.318022,13.926758,17.892578,10.175781,2.7513103,0.17706452,10.746454,15.375,19.9375,1.4E-45,2.1671252,-0.25038043,9.318022,13.926758,17.892578,-10.175781,2.233737,-0.21792556,9.329938,13.9375,17.9375,-10.25,1.2803127,-0.6401563,8.335652,12.4375,15.6875,-11.6875,1.4709977,0.81722087,2.410802,2.9375,4.25,11.6875,CLASSIFIED/VEHICLE/CAR
1.5229251,0.09225668,9.451241,15.279297,17.111328,9.411621,2.4925237,1.4028958,10.051817,17.5625,19.6875,1.4E-45,1.5229251,-0.09225668,9.451241,15.279297,17.111328,-9.411621,1.6208214,-0.20430522,9.438901,15.125,17.1875,-9.5,0.7491191,-0.58567494,8.853226,13.1875,14.4375,-11.6875,1.7434046,1.9885707,1.1985912,4.375,5.25,11.6875,CLASSIFIED/VEHICLE/CAR
2.248528,0.9419322,9.342069,15.523926,11.849609,9.734863,3.6911142,2.2745981,10.079058,17.8125,20.4375,1.4E-45,2.248528,-0.9419322,9.342069,15.523926,11.849609,-9.734863,2.2473574,-2.083913,9.357179,15.375,11.375,-9.75,0.9942854,-2.6423476,8.158588,13.1875,5.625,-11.6875,2.6968288,4.9169455,1.9204693,4.625,14.8125,11.6875,CLASSIFIED/VEHICLE/CAR
1.2677566,2.403033,9.484656,7.9692383,14.820801,2.6972656,1.4E-45,3.0237172,11.645397,1.4E-45,1.4E-45,12.375,-1.2677566,2.403033,9.484656,-7.9692383,-14.820801,2.6972656,-1.2803127,2.4108016,9.507003,-3.0625,-16.3125,1.5625,-1.6753027,1.7025435,8.036005,-32.75,-19.5625,-4.125,1.6753027,1.3211737,3.6093922,32.75,19.5625,16.5,CLASSIFIED/VEHICLE/CAR
1.3300048,2.4032469,9.519983,1.0234375,16.138672,0.90185547,1.4E-45,2.8330324,10.160779,1.5625,1.4E-45,2.5,-1.3300048,2.4032469,9.519983,-1.0234375,-16.138672,0.90185547,-1.3075534,2.3971813,9.507003,-1.125,-16.0625,0.8125,-1.879608,2.0294318,8.839605,-3.8125,-18.3125,-0.9375,1.879608,0.80360055,1.3211737,5.375,18.3125,3.4375,CLASSIFIED/VEHICLE/CAR
1.2654148,2.397395,9.506897,0.0029296875,15.115234,0.8510742,1.4E-45,2.9419951,11.427472,1.5625,1.4E-45,3.25,-1.2654148,2.397395,9.506897,-0.0029296875,-15.115234,0.8510742,-1.253072,2.383561,9.452521,0.125,-15.0625,0.8125,-1.7978859,2.070293,8.362893,-1.375,-16.3125,-1.4375,1.7978859,0.8717022,3.064579,2.9375,16.3125,4.6875,CLASSIFIED/VEHICLE/CAR
